id,clinic_id,name,price,is_active,description,interval,target_age,parent_id,sort_order,created_at,updated_at,deleted_at
1,1,一般健診,5000,t,身体検査・体重測定・問診,1年,全年齢,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,老齢検診,15000,t,身体検査＋血液検査＋レントゲン＋超音波,6ヶ月,7歳以上,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,フィラリア検査,2500,t,フィラリア抗原検査（予防シーズン前）,1年,成犬,,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,歯科検診,3000,t,歯周病チェック・歯石付着度の確認,1年,成犬,,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,ジュニア健診,8000,t,成長期の全身チェック,1年,1歳未満,,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,2,老齢検診,16000,t,身体検査＋血液検査＋レントゲン＋超音波,6ヶ月,7歳以上,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,2,フィラリア検査,2600,t,フィラリア抗原検査（予防シーズン前）,1年,成犬,,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,3,一般健診,4800,t,身体検査・体重測定・問診,1年,全年齢,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,3,老齢検診,14500,t,身体検査＋血液検査＋レントゲン＋超音波,6ヶ月,7歳以上,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,3,歯科検診,3100,t,歯周病チェック・歯石付着度の確認,1年,成犬,,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,歯科検診,3100,t,歯周病チェック・歯石付着度の確認,1年,成犬,,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,フィラリア検査,2600,t,フィラリア抗原検査（予防シーズン前）,1年,成犬,,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
