id,clinic_id,name,name_kana,birth_date,company,postal_code,address1,address2,home_postal_code,home_address1,home_address2,phone,company_phone,email,remarks,is_dangerous,discount_rate,membership_type,line_user_id,lstep_opt_out,lstep_opt_out_at,lstep_opt_out_reason,line_followed_at,line_blocked_at,line_id_confirmed_by,line_id_confirmed_at,delivery_excluded,delivery_excluded_reason,is_transferred,transfer_at,delivery_caution,delivery_caution_reason,dm_preference,created_at,updated_at,deleted_at
1,1,林 文明,はやし ふみあき,1980-05-15,サンプル株式会社,150-0001,東京都渋谷区神宮前1-2-3,"","","","",090-1111-2222,03-1234-5678,hayashi@example.com,定期検診を希望,f,10.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,田中 花子,たなか はなこ,1985-03-20,"",160-0022,東京都新宿区新宿1-1-1,"","","","",080-3333-4444,"",tanaka@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,鈴木 一郎,すずき いちろう,1978-11-03,"",170-0001,東京都豊島区西巣鴨1-3-5,"","","","",070-5555-6666,"",suzuki@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,田中 美咲,たなか みさき,1990-07-22,"",153-0044,東京都目黒区大橋2-4-6,"","","","",090-9999-8888,"",misaki.tanaka@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,佐藤 花子,さとう はなこ,1975-02-14,"",140-0001,東京都品川区北品川3-5-7,"","","","",080-2222-3333,"",hanako.sato@example.com,"",f,5.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,伊藤 次郎,いとう じろう,1983-09-30,"",166-0013,東京都杉並区堀ノ内1-7-9,"","","","",090-1234-5678,"",jiro.ito@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,小林 さくら,こばやし さくら,1992-04-05,"",176-0012,東京都練馬区豊玉北4-2-8,"","","","",080-9876-5432,"",sakura.kobayashi@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,中村 勇気,なかむら ゆうき,1987-12-18,"",174-0041,東京都板橋区舟渡2-6-10,"","","","",090-1122-3344,"",yuuki.nakamura@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,加藤 恵,かとう めぐみ,1995-06-25,"",134-0083,東京都江戸川区中葛西5-3-2,"","","","",080-5566-7788,"",megumi.kato@example.com,"",f,10.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,山田 太郎,やまだ たろう,1970-01-10,"",144-0051,東京都大田区西蒲田6-8-4,"","","","",090-2233-4455,"",taro.yamada@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,高橋 由美,たかはし ゆみ,1988-08-15,"",110-0005,東京都台東区上野5-1-3,"","","","",080-6677-8899,"",yumi.takahashi@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,松本 隆,まつもと たかし,1965-03-28,"",125-0061,東京都葛飾区亀有3-9-7,"","","","",090-3344-5566,"",takashi.matsumoto@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,吉田 誠,よしだ まこと,1982-11-05,"",123-0845,東京都足立区西新井7-4-6,"","","","",080-7788-9900,"",makoto.yoshida@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,井上 京子,いのうえ きょうこ,1973-05-19,"",189-0023,東京都東村山市美住町1-5-2,"","","","",090-4455-6677,"",kyoko.inoue@example.com,"",f,5.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,木村 拓也,きむら たくや,1991-07-14,"",179-0081,東京都練馬区北町3-6-9,"","","","",080-8899-0011,"",takuya.kimura@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,佐々木 亮,ささき りょう,1986-02-23,"",207-0013,東京都東大和市清水2-4-8,"","","","",090-5566-7788,"",ryo.sasaki@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,山本 健太,やまもと けんた,1998-09-12,"",206-0802,東京都稲城市東長沼2-8-3,"","","","",090-1234-9876,"",kenta.yamamoto@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,1,青木 麻衣,あおき まい,1993-03-10,"",150-0002,東京都渋谷区渋谷2-1-1,"","","","",090-1111-1111,"",mai.aoki@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,1,橋本 俊介,はしもと しゅんすけ,1980-07-25,"",130-0001,東京都墨田区吾妻橋1-3-5,"","","","",080-2222-2222,"",shunsuke.h@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,福田 裕子,ふくだ ゆうこ,1977-11-14,"",145-0062,東京都大田区北千束2-5-8,"","","","",090-3333-3333,"",yuko.fukuda@example.com,"",f,5.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,1,石川 大輔,いしかわ だいすけ,1989-04-02,"",167-0041,東京都杉並区善福寺3-2-6,"","","","",080-4444-4444,"",daisuke.ishikawa@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,1,村田 奈々,むらた なな,1996-09-19,"",182-0021,東京都調布市調布ヶ丘1-4-7,"","","","",090-5555-5555,"",nana.murata@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,2,大野 健司,おおの けんじ,1979-06-10,"",136-0071,東京都江東区亀戸3-5-8,"","","","",090-6601-2233,"",kenji.ono@example.com,定期通院,f,10.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,2,松田 香織,まつだ かおり,1988-02-14,"",135-0044,東京都江東区越中島2-1-4,"","","","",080-7702-3344,"",kaori.matsuda@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,2,渡辺 直樹,わたなべ なおき,1972-10-28,渡辺商事,132-0025,東京都江戸川区松江3-7-2,"","","","",090-8803-4455,"",naoki.watanabe@example.com,"",f,5.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,2,中島 奈緒,なかじま なお,1994-04-17,"",133-0065,東京都江戸川区南篠崎町1-6-3,"","","","",080-9904-5566,"",nao.nakajima@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,2,斎藤 浩二,さいとう こうじ,1967-12-05,"",131-0031,東京都墨田区墨田1-4-9,"","","","",090-1105-6677,"",koji.saito@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,2,坂本 真由美,さかもと まゆみ,1991-08-22,"",130-0022,東京都墨田区横川4-2-7,"","","","",080-2206-7788,"",mayumi.sakamoto@example.com,猫アレルギーに注意,f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,2,岡田 俊雄,おかだ としお,1983-03-30,オカダ工業,132-0034,東京都江戸川区小松川1-8-5,"","","","",090-3307-8899,"",toshio.okada@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,2,藤田 彩,ふじた あや,1997-11-11,"",136-0076,東京都江東区南砂3-9-1,"","","","",080-4408-9900,"",aya.fujita@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,3,村上 俊平,むらかみ しゅんぺい,1976-04-12,"",400-0031,山梨県甲府市丸の内2-3-4,"","","","",090-5501-1122,"",shunpei.murakami@example.com,"",f,10.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,3,長谷川 恵子,はせがわ けいこ,1989-09-07,"",400-0032,山梨県甲府市中央3-5-6,"","","","",080-6602-2233,"",keiko.hasegawa@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,3,野口 正樹,のぐち まさき,1971-01-25,野口設計,400-0035,山梨県甲府市丸の内3-7-8,"","","","",090-7703-3344,"",masaki.noguchi@example.com,"",f,5.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,3,石田 沙織,いしだ さおり,1993-07-18,"",400-0801,山梨県甲府市横根町5-2-1,"","","","",080-8804-4455,"",saori.ishida@example.com,猫2匹飼い,f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,3,前田 修,まえだ おさむ,1968-11-02,"",400-0031,山梨県甲府市丸の内1-9-3,"","","","",090-9905-5566,"",osamu.maeda@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,3,菊池 里奈,きくち りな,1995-06-14,"",400-0032,山梨県甲府市中央5-4-7,"","","","",080-1106-6677,"",rina.kikuchi@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,3,清水 和彦,しみず かずひこ,1980-03-28,清水工務店,400-0034,山梨県甲府市北口1-6-2,"","","","",090-2207-7788,"",kazuhiko.shimizu@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
38,3,岩崎 美穂,いわさき みほ,1998-12-05,"",400-0803,山梨県甲府市横根町2-8-9,"","","","",080-3308-8899,"",miho.iwasaki@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
39,1,渡辺 健,わたなべ けん,1975-06-12,"",101-0001,東京都千代田区千代田1-1,"","","","",090-6666-6666,"",ken.w@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
40,1,斎藤 由紀,さいとう ゆき,1982-08-24,"",102-0002,東京都千代田区麹町2-2,"","","","",080-7777-7777,"",yuki.s@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
41,1,岡田 准一,おかだ じゅんいち,1980-11-18,"",103-0003,東京都中央区日本橋3-3,"","","","",070-8888-8888,"",junichi.o@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
42,1,松嶋 菜々子,まつしま ななこ,1973-10-13,"",104-0004,東京都中央区築地4-4,"","","","",090-9999-9999,"",nanako.m@example.com,"",f,5.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
43,1,二宮 和也,にのみや かずなり,1983-06-17,"",105-0005,東京都港区新橋5-5,"","","","",080-1111-2222,"",kazunari.n@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
44,1,石原 さとみ,いしはら さとみ,1986-12-24,"",106-0006,東京都港区六本木6-6,"","","","",070-3333-4444,"",satomi.i@example.com,"",f,0.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
45,1,菅田 将暉,すだ まさき,1993-02-21,"",107-0007,東京都港区赤坂7-7,"","","","",090-5555-6666,"",masaki.s@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
46,1,小松 菜奈,こまつ なな,1996-02-16,"",108-0008,東京都港区三田8-8,"","","","",080-7777-8888,"",nana.k@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
47,1,綾瀬 はるか,あやせ はるか,1985-03-24,"",109-0009,東京都港区虎ノ門9-9,"","","","",070-9999-0000,"",haruka.a@example.com,"",f,10.00,member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
48,1,長澤 まさみ,ながさわ まさみ,1987-06-03,"",110-0010,東京都台東区台東10-10,"","","","",090-1234-1234,"",masami.n@example.com,"",f,0.00,non_member,,f,,,,,,,f,,f,,f,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
